Date,hour,temp
2023-02-15,12,59
2023-02-15,13,63
2023-02-15,14,66
2023-02-15,15,66
2023-02-15,16,66
2023-02-15,17,65
2023-02-15,18,63
2023-02-15,19,62
2023-02-15,20,62
2023-02-15,21,61
2023-02-15,22,61
2023-02-15,23,61
2023-02-16,0,60
2023-02-16,1,60
2023-02-16,2,60
2023-02-16,3,60
2023-02-16,4,59
2023-02-16,5,58
2023-02-16,6,59
2023-02-16,7,61
2023-02-16,8,62
2023-02-16,9,62
2023-02-16,10,65
2023-02-16,11,67
2023-02-16,12,68
2023-02-16,13,69
2023-02-16,14,65
2023-02-16,15,58
2023-02-16,16,56
2023-02-16,17,58
2023-02-16,18,59
2023-02-16,19,59
2023-02-16,20,58
2023-02-16,21,59
2023-02-16,22,58
2023-02-16,23,57
2023-02-17,0,59
2023-02-17,1,58
2023-02-17,2,57
2023-02-17,3,57
2023-02-17,4,58
2023-02-17,5,57.333333333333336
2023-02-17,6,57
2023-02-17,7,57
2023-02-17,8,58
2023-02-17,9,59
2023-02-17,10,59
2023-02-17,11,60
2023-02-17,12,61
2023-02-17,13,51.333333333333336
2023-02-17,14,39
2023-02-17,15,47.666666666666664
2023-02-17,16,43
2023-02-17,17,41
2023-02-17,18,39
2023-02-17,19,36
2023-02-17,20,34
2023-02-17,21,33
2023-02-17,22,33
2023-02-17,23,32
2023-02-18,0,32
2023-02-18,1,32
2023-02-18,2,31
2023-02-18,3,31
2023-02-18,4,30
2023-02-18,5,29
2023-02-18,6,28
2023-02-18,7,27
2023-02-18,8,28
2023-02-18,9,30
2023-02-18,10,33
2023-02-18,11,36
2023-02-18,12,38
2023-02-18,13,39
2023-02-18,14,41
2023-02-18,15,42
2023-02-18,16,42
2023-02-18,17,41
2023-02-18,18,41
2023-02-18,19,41
2023-02-18,20,40
2023-02-18,21,39
2023-02-18,22,40
2023-02-18,23,39
2023-02-19,0,38
2023-02-19,1,38
2023-02-19,2,38
2023-02-19,3,38
2023-02-19,4,39
2023-02-19,5,39
2023-02-19,6,39
2023-02-19,7,39
2023-02-19,8,41
2023-02-19,9,44
2023-02-19,10,45
2023-02-19,11,46
2023-02-19,12,46
2023-02-19,13,48
2023-02-19,14,49
2023-02-19,15,47
2023-02-19,16,46
2023-02-19,17,45
2023-02-19,18,45
2023-02-19,19,46
2023-02-19,20,47
2023-02-19,21,47
2023-02-19,22,48
2023-02-19,23,49
2023-02-20,0,50
2023-02-20,1,48
2023-02-20,2,47
2023-02-20,3,48
2023-02-20,4,47
2023-02-20,5,47
2023-02-20,6,48
2023-02-20,7,48
2023-02-20,8,49
2023-02-20,9,49
2023-02-20,10,49
2023-02-20,11,51
2023-02-20,12,54
2023-02-20,13,59
2023-02-20,14,61
2023-02-20,15,59
2023-02-20,16,59
2023-02-20,17,58
2023-02-20,18,57
2023-02-20,19,57
2023-02-20,20,56
2023-02-20,21,55
2023-02-20,22,53
2023-02-20,23,50
2023-02-21,0,48
2023-02-21,1,47
2023-02-21,2,42
2023-02-21,3,40
2023-02-21,4,38
2023-02-21,5,38
2023-02-21,6,37
2023-02-21,7,38
2023-02-21,8,38
2023-02-21,9,39
2023-02-21,10,40
2023-02-21,11,41
2023-02-21,12,42
2023-02-21,13,43
2023-02-21,14,46
2023-02-21,15,45
2023-02-21,16,44
2023-02-21,17,43
